368	16	23
====================
g_001 w_011 d_21 w_011 w_011 w_011 w_011 w_011 w_011 w_011 w_011 w_011 w_011 w_011 w_011 w_011 w_011 w_011 w_011 w_011 w_011 w_011 g_001
w_012 g_001 g_001 g_001 g_166 g_001 g_001 g_001 g_001 g_001 g_001 g_001 g_001 g_001 g_001 g_001 g_001 g_001 g_175 g_001 g_001 g_001 w_013
w_012 g_001 g_001 g_001 g_001 g_001 g_001 g_181 g_001 g_001 g_001 g_001 g_001 g_170 g_174 g_001 g_001 g_001 g_001 g_001 g_001 g_001 w_013
w_012 g_001 g_001 g_001 g_001 g_001 g_001 g_001 g_001 g_001 g_001 g_001 g_001 g_001 g_001 g_001 g_001 g_001 g_001 g_157 g_001 g_001	w_013
w_012 g_176 g_001 g_001 g_001 g_001 g_001 g_001 g_156 g_001 g_001 g_001 g_001 g_001 g_001 g_001 g_001 g_001 g_001 g_001 g_001 g_168	w_013
w_012 g_001 g_001 g_001 g_001 g_001 g_001 g_001 g_001 g_001 g_001 g_001 g_160 g_001 g_157 g_001 g_001 g_001 g_001 g_001 g_001 g_001 w_013
w_012 g_001 g_001 g_186 g_186 g_186 g_161 g_165 g_001 g_001 g_001 g_001 g_001 g_001 g_001 g_001 g_001 g_187 g_191 g_001 g_001 g_001	w_013
w_012 g_001 g_001 g_186 g_186 g_186 g_001 g_001 g_001 g_001 g_001 g_001 g_001 g_001 g_001 g_001 g_001 g_001 g_001 g_001 g_001 g_001	w_013
w_012 g_001 g_001 g_186 g_182 g_186 g_001 g_001 g_192 g_001 g_001 g_001 g_187 g_191 g_001 g_001 g_001 g_001 g_001 g_001 g_001 g_158	w_013
w_012 g_156 g_001 g_186 g_186 g_186 g_001 g_001 g_001 g_001 g_001 g_001 g_001 g_001 g_001 g_001 g_001 g_194 g_001 g_001 g_001 g_001	w_013
w_012 g_001 g_001 g_001 g_001 g_001 g_001 g_001 g_001 g_001 g_001 g_001 g_001 g_181 g_001 g_001 g_001 g_197 g_001 g_001 g_001 g_001	d_33
w_012 g_001	g_001 g_001 g_001 g_162 g_001 g_001 g_193 g_197 g_001 g_001 g_001 g_001 g_001 g_001 g_001 g_001 g_001 g_001 g_001 g_001 w_013
w_012 g_001 g_001 g_158 g_001 g_165 g_001 g_001 g_001 g_001 g_160 g_001 g_001 g_192 g_001 g_001 g_001 g_180 g_180 g_161 g_001 g_001	w_013
w_012 g_001 g_001 g_001 g_001 g_001 g_001 g_001 g_001 g_001 g_001 g_001 g_001 g_001 g_001 g_001 g_001 g_179 g_180 g_001 g_001 g_001	w_013
w_012 g_001 g_001 g_001 g_001 g_001 g_001 g_001 g_001 g_001 g_001 g_001 g_001 g_001 g_001 g_001 g_001 g_001 g_001 g_001 g_001 g_001 w_013
g_001 w_014 w_014 w_014	w_014 w_014	w_014 w_014	w_014 w_014	w_014 w_014	w_014 w_014	w_014 w_014	w_014 w_014	w_014 w_014 w_014 w_014 g_001
