368	16	23
====================
w_041 w_031 d_01  w_031 w_031 w_031 w_111 w_031 w_031 w_031 w_212 w_212 w_212 w_211 w_031 w_031 w_031 w_121 w_031 w_031 w_031 w_031 w_042
w_032 g_002 g_002 g_002 g_002 g_002 g_002 g_002 g_002 g_002 g_002 g_002 g_002 g_002 g_002 g_002 g_002 g_002 g_002 g_002 g_002 g_002 w_033
w_032 g_002 g_002 g_002 g_002 g_002 g_002 g_002 g_002 g_002 g_002 g_002 g_002 g_002 g_002 g_002 g_002 g_002 g_002 g_002 g_002 g_002 w_033
w_032 g_002 g_002 g_002 g_002 g_002 g_002 g_002 g_002 g_002 g_002 g_002 g_039 g_002 g_002 g_002 g_002 g_002 g_035 g_002 g_002 g_002	w_033
w_221 g_002 g_002 g_002 g_002 g_002 g_002 g_002 g_002 g_044 g_002 g_002 g_002 g_002 g_002 g_002 g_031 g_002 g_002 g_010 g_010 g_048	w_033
w_222 g_002 g_002 g_002 g_002 g_002 g_002 g_002 g_002 g_002 g_045 g_002 g_002 g_024 g_025 g_002 g_034 g_002 g_002 g_010 g_010 g_049 w_033
w_222 g_002 g_002 g_002 g_040 g_002 g_002 g_002 g_002 g_002 g_002 g_002 g_002 g_002 g_002 g_002 g_002 g_002 g_038 g_002 g_002 g_002	w_033
w_222 g_002 g_002 g_002 g_023 g_002 g_002 g_002 g_002 g_002 g_002 g_002 g_002 g_002 g_002 g_002 g_039 g_002 g_002 g_002 g_002 g_002	w_033
w_032 g_002 g_041 g_002 g_022 g_002 g_042 g_002 g_002 g_002 g_002 g_002 g_002 g_002 g_002 g_002 g_002 g_002 g_002 g_002 g_002 g_002	w_113
w_032 g_002 g_002 g_002 g_023 g_002 g_002 g_039 g_002 g_002 g_002 g_002 g_002 g_002 g_002 g_002 g_002 g_002 g_002 g_002 g_002 g_002	w_033
w_032 g_002 g_002 g_002 g_043 g_002 g_002 g_002 g_002 g_034 g_030 g_002 g_002 g_002 g_002 g_002 g_002 g_002 g_002 g_020 g_002 g_002	w_123
w_032 g_028	g_002 g_002 g_002 g_002 g_002 g_031 g_010 g_010 g_010 g_010 g_034 g_002 g_002 g_002 g_002 g_002 g_002 g_002 g_002 g_002 w_033
w_032 g_002 g_002 g_002 g_002 g_002 g_002 g_034 g_010 g_010 g_010 g_010 g_032 g_002 g_002 g_039 g_002 g_002 g_002 g_002 g_002 g_002	w_033
w_032 g_002 g_002 g_002 g_002 g_002 g_002 g_002 g_010 g_010 g_010 g_010 g_002 g_002 g_002 g_002 g_002 g_002 g_002 g_002 g_002 g_002	d_13
w_032 g_002 g_002 g_002 g_002 g_020 g_002 g_002 g_002 g_033 g_034 g_002 g_002 g_002 g_002 g_020 g_002 g_002 g_002 g_002 g_002 g_002 w_033
w_043 w_034 w_034 w_034	w_034 w_034	w_034 w_034	w_034 w_034	w_034 w_034	w_034 w_034	w_034 w_034	w_034 w_034	w_034 w_034 w_034 w_034 w_044
