368	16	23
====================
w_051 w_051 w_310 w_051 w_051 w_051 w_310 w_051 w_051 w_051 w_310 w_051 w_051 w_051 w_051 w_051 w_051 w_051 w_051 w_051 d_11  w_051 w_052
w_052 g_003 g_003 g_003 g_003 g_003 g_003 g_003 g_003 g_003 g_003 g_003 g_003 g_101 g_003 g_075 g_075 g_003 g_101 g_003 g_003 g_003 w_053
w_052 g_003 g_003 g_003 g_062 g_003 g_003 g_003 g_003 g_003 g_003 g_003 g_003 g_003 g_003 g_071 g_075 g_003 g_003 g_003 g_003 g_003 w_053
w_302 g_003 g_003 g_003 g_003 g_003 g_003 g_003 g_076 g_003 g_003 g_082 g_087 g_003 g_003 g_003 g_003 g_003 g_110 g_003 g_003 g_003 w_053
w_052 g_003 g_003 g_003 g_003 g_003 g_003 g_003 g_003 g_003 g_003 g_003 g_003 g_003 g_003 g_003 g_078 g_003 g_003 g_003 g_003 g_003 w_053
w_052 g_003 g_003 g_003 g_076 g_003 g_003 g_114 g_003 g_003 g_003 g_003 g_003 g_053 g_057 g_003 g_003 g_003 g_003 g_003 g_003 g_003 w_053
w_052 g_003 g_003 g_003 g_003 g_003 g_003 g_003 g_003 g_003 g_091 g_003 g_003 g_003 g_003 g_003 g_003 g_003 g_091 g_003 g_003 g_003 w_053
w_302 g_003 g_003 g_003 g_003 g_003 g_003 g_003 g_003 g_003 g_003 g_003 g_003 g_003 g_076 g_003 g_003 g_003 g_003 g_003 g_003 g_003 w_309
w_052 g_003 g_003 g_070 g_070 g_003 g_003 g_093 g_003 g_092 g_092 g_003 g_003 g_003 g_003 g_003 g_003 g_003 g_003 g_003 g_003 g_003 w_053
w_308 g_003 g_003 g_066 g_070 g_003 g_003 g_003 g_003 g_003 g_003 g_003 g_003 g_003 g_003 g_003 g_003 g_003 g_003 g_003 g_003 g_003 w_053
w_052 g_003 g_003 g_003 g_003 g_003 g_003 g_093 g_094 g_003 g_003 g_003 g_003 g_096 g_100 g_003 g_003 g_091 g_003 g_003 g_003 g_107 w_053
w_052 g_003 g_052 g_050 g_003 g_003 g_003 g_003 g_003 g_003 g_095 g_003 g_003 g_003 g_100 g_003 g_003 g_003 g_003 g_003 g_003 g_109 w_053
w_305 g_003 g_003 g_003 g_003 g_003 g_003 g_003 g_003 g_003 g_003 g_003 g_003 g_003 g_064 g_003 g_076 g_003 g_003 g_076 g_003 g_003 w_053
w_052 g_003 g_003 g_003 g_003 g_003 g_091 g_003 g_003 g_003 g_003 g_003 g_003 g_003 g_064 g_003 g_003 g_052 g_050 g_003 g_003 g_003 w_303
w_052 g_003 g_003 g_003 g_003 g_003 g_003 g_003 g_003 g_003 g_120 g_003 g_090 g_003 g_061 g_003 g_076 g_003 g_003 g_076 g_003 g_003 w_053
w_053 w_054 d_04  w_054 w_054 w_054 w_054 w_054 w_054 w_054 w_054 w_054 w_054 w_054 w_054 w_054 w_054 w_054 w_054 w_054 w_054 w_054 w_054
