368	16	23
====================
w_021 w_071 w_071 w_071 w_071 w_071 w_071 w_071 w_071 w_071 w_071 w_313 w_071 w_071 w_071 w_071 w_307 w_071 w_071 w_071 w_071 w_071 w_022
w_072 g_004 g_004 g_004 g_004 g_118 g_004 g_004 g_004 g_004 g_004 g_004 g_004 g_143 g_004 g_004 g_004 g_004 g_004 g_004 g_004 g_004 w_073
w_072 g_004 g_004 g_004 g_004 g_004 g_004 g_004 g_004 g_004 g_004 g_004 g_004 g_004 g_004 g_004 g_004 g_004 g_004 g_004 g_004 g_004 w_073
w_072 g_004 g_119 g_004 g_004 g_021 g_004 g_120 g_004 g_004 g_004 g_004 g_004 g_004 g_004 g_004 g_134 g_004 g_004 g_004 g_004 g_004	w_073
w_072 g_004 g_004 g_004 g_004 g_004 g_004 g_004 g_004 g_004 g_004 g_004 g_131 g_004 g_004 g_004 g_004 g_004 g_004 g_004 g_004 g_004	w_073
w_072 g_004 g_004 g_004 g_004 g_121 g_004 g_004 g_004 g_004 g_004 g_004 g_004 g_004 g_004 g_004 g_004 g_004 g_004 g_004 g_004 g_004 w_309
d_12  g_004 g_004 g_004 g_004 g_004 g_004 g_004 g_004 g_004 g_004 g_004 g_004 g_004 g_004 g_004 g_144 g_138 g_138 g_134 g_138 g_138	w_073
w_222 g_004 g_004 g_004 g_004 g_004 g_004 g_004 g_004 g_004 g_004 g_004 g_004 g_004 g_004 g_004 g_004 g_004 g_004 g_004 g_004 g_004	w_073
w_072 g_128 g_004 g_004 g_004 g_133 g_132 g_004 g_004 g_141 g_004 g_004 g_114 g_004 g_004 g_004 g_004 g_004 g_004 g_004 g_004 g_004	w_073
w_072 g_004 g_004 g_004 g_004 g_133 g_133 g_004 g_004 g_004 g_004 g_004 g_004 g_004 g_004 g_004 g_004 g_140 g_004 g_004 g_004 g_004	w_073
w_122 g_004 g_004 g_004 g_004 g_004 g_004 g_122 g_004 g_004 g_004 g_004 g_004 g_004 g_004 g_004 g_004 g_004 g_004 g_004 g_004 g_004	w_317
w_072 g_004	g_004 g_004 g_004 g_004 g_122 g_004 g_122 g_004 g_004 g_004 g_148 g_004 g_004 g_004 g_004 g_004 g_004 g_123 g_004 g_004 w_073
w_072 g_004 g_004 g_004 g_004 g_004 g_004 g_122 g_004 g_004 g_004 g_004 g_004 g_004 g_004 g_152 g_004 g_004 g_004 g_004 g_004 g_004	w_073
w_112 g_004 g_004 g_004 g_004 g_004 g_004 g_004 g_004 g_004 g_004 g_004 g_004 g_004 g_004 g_004 g_004 g_004 g_004 g_004 g_004 g_004	w_073
w_072 g_004 g_004 g_004 g_004 g_004 g_004 g_004 g_004 g_004 g_004 g_004 g_090 g_004 g_004 g_004 g_004 g_004 g_004 g_004 g_004 g_004 w_073
w_023 w_074 w_074 w_074	w_074 w_074	w_074 w_074	w_074 w_074	w_074 w_074	w_074 w_074	w_074 w_074	w_074 w_074	w_074 d_04  w_074 w_074 w_024
